spotId,spotName,waterBodyType,state,district,latitude,longitude,fisheryStatus,evidence,sourceOrganization,fisherySource,coordinateSource,coordinateConfidence,fishingPotential,fishingPotentialBasis,evidenceClass,operationalDiscoveryEligible,operationalUseNote
inland_assam_bamuni_beel,Bamuni Beel,floodplain_beel,Assam,Kamrup Rural,26.315278,91.758333,documented_fishery,"ICAR-CIFRI documented culture-based fisheries, pen culture and capture-fishery dependence of local fisher households.",ICAR-CIFRI,https://www.icar.gov.in/en/node/5904,https://www.icar.gov.in/en/node/5904,high,,Not assigned unless explicitly supported by source.,documented_fisheries_resource,False,"Evidence supports a fisheries resource/development context, but not enough direct evidence for a precise fishing-destination recommendation."
inland_assam_charan_beel,Charan Beel,floodplain_beel,Assam,Baksa,26.474722,91.670278,documented_fishery,ICAR-CIFRI research documents culture-based fisheries work with beel fishers at Charan Beel.,ICAR-CIFRI,https://www.icar.gov.in/en/node/5904,https://www.researchgate.net/publication/362874703_Exploring_the_potential_of_culture-based_fisheries_for_augmenting_income_of_tribal_beel_fishers_A_success_story_from_Assam,high,,Not assigned unless explicitly supported by source.,documented_fisheries_resource,False,"Evidence supports a fisheries resource/development context, but not enough direct evidence for a precise fishing-destination recommendation."
inland_nagaland_doyang,Doyang Reservoir,reservoir,Nagaland,Wokha,26.219444,94.291667,documented_fishery,"ICAR-CIFRI documents reservoir fish catch, 100 full-time fishers, more than 250 dependent fisher families and fisheries/cage-culture activity.",ICAR-CIFRI,https://www.icar.gov.in/hi/node/17710,https://www.icar.gov.in/hi/node/17710,medium,,Not assigned unless explicitly supported by source.,documented_fisheries_resource,False,Not used for precise nearby-destination recommendations until coordinate is independently verified.
inland_meghalaya_umiam,Umiam Reservoir (Barapani),reservoir,Meghalaya,Ri-Bhoi,25.665417,91.89283,documented_fishery,"ICAR-CIFRI documents active reservoir fishing, fisher families, cage culture and fish seed stocking.",ICAR-CIFRI,https://icar.gov.in/en/icar-cifri-barrackpore-strengthens-women-led-blue-economy-through-sustainable-fisheries,https://indianwetlands.in/wp-content/themes/wetlands/templates/get_lat_lang_data.php,high,,Not assigned unless explicitly supported by source.,documented_fisheries_resource,False,"Evidence supports a fisheries resource/development context, but not enough direct evidence for a precise fishing-destination recommendation."
inland_himachal_gobind_sagar,Gobind Sagar Reservoir,reservoir,Himachal Pradesh,Bilaspur/Una,31.40538,76.49441,documented_fishery,"ICAR-CIFRI identifies Gobind Sagar as a major reservoir-fisheries resource and reports fisheries management, fish yield assessments and cage culture.",ICAR-CIFRI,https://www.icar.gov.in/en/icar-cifri-barrackpore-and-himachal-pradesh-partner-unlock-reservoir-fisheries-potential-and,https://mapcarta.com/14887378,high,,Not assigned unless explicitly supported by source.,documented_fisheries_resource,False,"Evidence supports a fisheries resource/development context, but not enough direct evidence for a precise fishing-destination recommendation."
inland_himachal_pong,Pong Reservoir (Maharana Pratap Sagar),reservoir,Himachal Pradesh,Kangra,31.97139,75.94667,documented_fishery,"ICAR-CIFRI identifies Pong as a reservoir-fisheries resource, including breeding-ground assessment, fishing-effort management and cage culture.",ICAR-CIFRI,https://www.icar.gov.in/en/icar-cifri-barrackpore-and-himachal-pradesh-partner-unlock-reservoir-fisheries-potential-and,https://www.wikidata.org/wiki/Q7227766,high,,Not assigned unless explicitly supported by source.,documented_fisheries_resource,False,"Evidence supports a fisheries resource/development context, but not enough direct evidence for a precise fishing-destination recommendation."
inland_himachal_chamera1,Chamera-I Reservoir,reservoir,Himachal Pradesh,Chamba,32.5966,75.9857,documented_fishery_resource,"ICAR-CIFRI identifies Chamera-I, II and III among Himachal Pradesh's reservoir fisheries resources.",ICAR-CIFRI,https://www.icar.gov.in/en/icar-cifri-barrackpore-and-himachal-pradesh-partner-unlock-reservoir-fisheries-potential-and,https://www.gem.wiki/Chamera-I_hydroelectric_plant,high,,Not assigned unless explicitly supported by source.,documented_fisheries_resource,False,"Evidence supports a fisheries resource/development context, but not enough direct evidence for a precise fishing-destination recommendation."
inland_uttarakhand_tehri,Tehri Reservoir,reservoir,Uttarakhand,Tehri Garhwal,30.37778,78.48056,documented_fishery,"Fisheries research documents fishing areas, fishing rights, fishing season and fish landings in Tehri Dam Reservoir.",Fisheries research study,https://www.researchgate.net/publication/384237681_Present_status_and_future_prospects_of_fisheries_of_Tehri_dam_reservoir,https://www.mapcarta.com/W93091865,high,,Not assigned unless explicitly supported by source.,documented_fishing_or_access_evidence,True,Evidence supports fishing/landing/licensing/rights activity and coordinate confidence is high; this still does not establish individual legal permission.
inland_odisha_hirakud,Hirakud Reservoir,reservoir,Odisha,Sambalpur,21.75,83.75,documented_fishery,"Wetlands of India documents fisheries, economically important fish species and approximately 7,000 fisher households dependent on Hirakud reservoir fisheries.",Wetlands of India / Odisha fisheries authorities,https://indianwetlands.in/view-wetland/?profile=MjExNg%3D%3D,https://www.getty.edu/vow/TGNFullDisplay?english=Y&find=new+york+city&nation=United+States&place=&subjectid=7001689,high,,Not assigned unless explicitly supported by source.,documented_fisheries_resource,False,"Evidence supports a fisheries resource/development context, but not enough direct evidence for a precise fishing-destination recommendation."
inland_odisha_salia,Salia Reservoir,reservoir,Odisha,Ganjam/Khordha region,19.806478,85.061638,documented_fishery,ICAR-linked Scientific Reports study documents cage-based fish production in Salia reservoir; Odisha Water Resources lists the reservoir.,ICAR-CIFRI / Odisha Water Resources,https://doi.org/10.1038/s41598-022-13570-x,https://doi.org/10.1038/s41598-022-13570-x,high,,Not assigned unless explicitly supported by source.,documented_fishing_or_access_evidence,True,Evidence supports fishing/landing/licensing/rights activity and coordinate confidence is high; this still does not establish individual legal permission.
