locationId,name,stateCode,districtCode,fisheriesType,latitude,longitude,month,airTemperatureC,weatherCondition,windSpeedKmph,windDirectionDeg,rainfallMm,visibilityKm,significantWaveHeightM,wavePeriodSec,waveDirectionDeg,swellHeightM,swellPeriodSec,seaCondition,seaSurfaceTemperatureC,surfaceCurrentSpeedMs,surfaceCurrentDirectionDeg,mixedLayerDepthM,d20DepthM,chlorophyllMgM3,pfzPotentialScore,fishingPotential,cycloneStatus,cycloneRiskScore,cycloneDistanceKm,cycloneWindKmph,marineWarning,highWaveAlert,dataType,modelBasis,waveApplicability
loc_0,Mumbai,16,,marine,19.07283,72.88261,10,28.5,partly_cloudy,11.0,106.0,1.7,7.0,1.13,7.2,112.0,0.68,6.8,moderate,28.5,0.4,61.0,74.0,84.0,0.83,50.0,moderate,none,15.0,,,none,False,synthetic_demo_baseline,INCOIS/IMD variable schema + deterministic Indian coastal regional model,applicable
loc_0,Mumbai,16,,marine,19.07283,72.88261,11,27.7,partly_cloudy,9.7,123.0,2.5,7.6,0.98,6.7,123.0,0.63,7.0,slight,28.1,0.35,78.0,75.0,90.0,0.62,41.0,low,none,12.0,,,none,False,synthetic_demo_baseline,INCOIS/IMD variable schema + deterministic Indian coastal regional model,applicable
loc_1,Delhi,07,,inland,28.65195,77.23149,10,28.4,clear,14.3,236.0,9.0,7.8,,,,,,,,,,,,,,,not_applicable,,,,not_applicable,False,synthetic_demo_baseline,deterministic inland prototype climatology,not_applicable_inland
loc_1,Delhi,07,,inland,28.65195,77.23149,11,25.4,cloudy,8.1,44.0,1.1,5.1,,,,,,,,,,,,,,,not_applicable,,,,not_applicable,False,synthetic_demo_baseline,deterministic inland prototype climatology,not_applicable_inland
loc_2,Bengaluru,19,572,inland,12.97194,77.59369,10,30.9,partly_cloudy,13.7,217.0,8.3,7.5,,,,,,,,,,,,,,,not_applicable,,,,not_applicable,False,synthetic_demo_baseline,deterministic inland prototype climatology,not_applicable_inland
loc_2,Bengaluru,19,572,inland,12.97194,77.59369,11,29.0,partly_cloudy,11.2,138.0,3.1,6.4,,,,,,,,,,,,,,,not_applicable,,,,not_applicable,False,synthetic_demo_baseline,deterministic inland prototype climatology,not_applicable_inland
loc_3,Hyderabad,40,536,inland,17.38405,78.45636,10,28.5,cloudy,8.8,66.0,2.9,5.4,,,,,,,,,,,,,,,not_applicable,,,,not_applicable,False,synthetic_demo_baseline,deterministic inland prototype climatology,not_applicable_inland
loc_3,Hyderabad,40,536,inland,17.38405,78.45636,11,30.1,clear,16.5,305.0,6.7,8.8,,,,,,,,,,,,,,,not_applicable,,,,not_applicable,False,synthetic_demo_baseline,deterministic inland prototype climatology,not_applicable_inland
loc_4,Ahmedabad,09,474,inland,23.02579,72.58727,10,29.2,partly_cloudy,13.7,217.0,8.3,7.5,,,,,,,,,,,,,,,not_applicable,,,,not_applicable,False,synthetic_demo_baseline,deterministic inland prototype climatology,not_applicable_inland
loc_4,Ahmedabad,09,474,inland,23.02579,72.58727,11,28.6,clear,15.0,256.0,5.6,8.1,,,,,,,,,,,,,,,not_applicable,,,,not_applicable,False,synthetic_demo_baseline,deterministic inland prototype climatology,not_applicable_inland
