facilityId,facilityType,name,district,latitude,longitude,coordinateStatus,source,sourceUrl,state
fh_01,fishing_harbour,Development of Pudimadaka Fishing Harbour,Anakapalli,17.493,82.96,prototype_geospatial_anchor,Department of Fisheries PMMSY Fishing Harbour Map,https://pmmsy.dof.gov.in/static/harbour/harbours.html,
fh_03,fishing_harbour,Development of Kothapatnam Fishing Harbour,Ongole,15.44,80.19,prototype_geospatial_anchor,Department of Fisheries PMMSY Fishing Harbour Map,https://pmmsy.dof.gov.in/static/harbour/harbours.html,
fh_04,fishing_harbour,Modernization and up-gradation of Vishakapatnam Fishing Harbour,Vishakapatnam Port,17.69,83.29,prototype_geospatial_anchor,Department of Fisheries PMMSY Fishing Harbour Map,https://pmmsy.dof.gov.in/static/harbour/harbours.html,
fh_05,fishing_harbour,Juvvaladinne Fishing Harbour,SPSR Nellore,14.8,80.05,prototype_geospatial_anchor,Department of Fisheries PMMSY Fishing Harbour Map,https://pmmsy.dof.gov.in/static/harbour/harbours.html,
fh_06,fishing_harbour,"Construction of Fishing Harbour, Uppada",East Godavari,17.08,82.34,prototype_geospatial_anchor,Department of Fisheries PMMSY Fishing Harbour Map,https://pmmsy.dof.gov.in/static/harbour/harbours.html,
fh_07,fishing_harbour,"Construction of Fishing Harbour, Vodarevu",Prakasham,15.55,80.17,prototype_geospatial_anchor,Department of Fisheries PMMSY Fishing Harbour Map,https://pmmsy.dof.gov.in/static/harbour/harbours.html,
fh_08,fishing_harbour,"Construction of Fishing Harbour, Machilipattinam",Krishna,16.18,81.13,prototype_geospatial_anchor,Department of Fisheries PMMSY Fishing Harbour Map,https://pmmsy.dof.gov.in/static/harbour/harbours.html,
fh_09,fishing_harbour,"Construction of Fishing Harbour, Nizampattinam",Guntur,15.9,80.65,prototype_geospatial_anchor,Department of Fisheries PMMSY Fishing Harbour Map,https://pmmsy.dof.gov.in/static/harbour/harbours.html,
fh_10,fishing_harbour,Development of Smart and Integrated Fishing Harbour at Jakhau,Kutch,23.23,68.72,prototype_geospatial_anchor,Department of Fisheries PMMSY Fishing Harbour Map,https://pmmsy.dof.gov.in/static/harbour/harbours.html,
fh_11,fishing_harbour,3rd Stage of Mangarol Fishing Harbour,Junagadh,21.52,70.12,prototype_geospatial_anchor,Department of Fisheries PMMSY Fishing Harbour Map,https://pmmsy.dof.gov.in/static/harbour/harbours.html,
fh_12,fishing_harbour,Development of Fishery Harbour at Navabandar,Junagadh,21.5,69.6,prototype_geospatial_anchor,Department of Fisheries PMMSY Fishing Harbour Map,https://pmmsy.dof.gov.in/static/harbour/harbours.html,
fh_13,fishing_harbour,Development of Fishery harbour at Madhwad,Junagadh,20.99,70.47,prototype_geospatial_anchor,Department of Fisheries PMMSY Fishing Harbour Map,https://pmmsy.dof.gov.in/static/harbour/harbours.html,
fh_14,fishing_harbour,Development of Fishery Harbour at Veraval – Phase 2,Gir Somnath,20.9,70.37,prototype_geospatial_anchor,Department of Fisheries PMMSY Fishing Harbour Map,https://pmmsy.dof.gov.in/static/harbour/harbours.html,
fh_15,fishing_harbour,Development of Fishery Harbour Porbandar – Phase 2,Porbandar,21.64,69.61,prototype_geospatial_anchor,Department of Fisheries PMMSY Fishing Harbour Map,https://pmmsy.dof.gov.in/static/harbour/harbours.html,
fh_16,fishing_harbour,Development of Fishery Harbour at Sutrapada,Gir Somnath,20.83,70.48,prototype_geospatial_anchor,Department of Fisheries PMMSY Fishing Harbour Map,https://pmmsy.dof.gov.in/static/harbour/harbours.html,
fh_17,fishing_harbour,Modernisation and Upgradation of Mangalore Fishing Harbour,Dakshina Kannada,12.9,74.82,prototype_geospatial_anchor,Department of Fisheries PMMSY Fishing Harbour Map,https://pmmsy.dof.gov.in/static/harbour/harbours.html,
fh_18,fishing_harbour,Modernisation of Malpe Fishing Harbour,Udupi,13.35,74.7,prototype_geospatial_anchor,Department of Fisheries PMMSY Fishing Harbour Map,https://pmmsy.dof.gov.in/static/harbour/harbours.html,
fh_19,fishing_harbour,Modernisation of Gangoli Fishing Harbour,Udupi,13.65,74.68,prototype_geospatial_anchor,Department of Fisheries PMMSY Fishing Harbour Map,https://pmmsy.dof.gov.in/static/harbour/harbours.html,
fh_20,fishing_harbour,Maintenance Dredging at Amadalli Fishing Harbour,Uttar Kannada,14.67,74.28,prototype_geospatial_anchor,Department of Fisheries PMMSY Fishing Harbour Map,https://pmmsy.dof.gov.in/static/harbour/harbours.html,
fh_21,fishing_harbour,Dredging work at Tadari Fishing Harbour,Uttar Kannada,14.48,74.44,prototype_geospatial_anchor,Department of Fisheries PMMSY Fishing Harbour Map,https://pmmsy.dof.gov.in/static/harbour/harbours.html,
fh_22,fishing_harbour,Kulai Fishing Harbour,Mangalore,12.96,74.8,prototype_geospatial_anchor,Department of Fisheries PMMSY Fishing Harbour Map,https://pmmsy.dof.gov.in/static/harbour/harbours.html,
fh_23,fishing_harbour,Hejmadi Kodi Fishing Harbour,Udupi,13.1,74.78,prototype_geospatial_anchor,Department of Fisheries PMMSY Fishing Harbour Map,https://pmmsy.dof.gov.in/static/harbour/harbours.html,
fh_24,fishing_harbour,"Modernization and up-gradation of Cochin Fishing Harbour at Thoppumpady, Cochin",Ernakulam,9.93,76.27,prototype_geospatial_anchor,Department of Fisheries PMMSY Fishing Harbour Map,https://pmmsy.dof.gov.in/static/harbour/harbours.html,
fh_25,fishing_harbour,Expansion of Muthalapozhy Fishing Harbour,Thiruvanathapuram,8.6,76.78,prototype_geospatial_anchor,Department of Fisheries PMMSY Fishing Harbour Map,https://pmmsy.dof.gov.in/static/harbour/harbours.html,
fh_26,fishing_harbour,Expansion of Kasaragod Fishing Harbour,Kasaragod,12.5,74.99,prototype_geospatial_anchor,Department of Fisheries PMMSY Fishing Harbour Map,https://pmmsy.dof.gov.in/static/harbour/harbours.html,
fh_27,fishing_harbour,Upgradation and modernization of Harbour in Ponnani,Malappuram,10.77,75.93,prototype_geospatial_anchor,Department of Fisheries PMMSY Fishing Harbour Map,https://pmmsy.dof.gov.in/static/harbour/harbours.html,
fh_28,fishing_harbour,Upgradation and modernization of Harbour in Puthiyappa,Kozhikode,11.32,75.74,prototype_geospatial_anchor,Department of Fisheries PMMSY Fishing Harbour Map,https://pmmsy.dof.gov.in/static/harbour/harbours.html,
fh_29,fishing_harbour,Upgradation and modernization of Harbour in Koyilandy,Kozhikode,11.44,75.7,prototype_geospatial_anchor,Department of Fisheries PMMSY Fishing Harbour Map,https://pmmsy.dof.gov.in/static/harbour/harbours.html,
fh_30,fishing_harbour,Maintenance dredging of existing harbor in Kayamkulam,Kollam,9.18,76.5,prototype_geospatial_anchor,Department of Fisheries PMMSY Fishing Harbour Map,https://pmmsy.dof.gov.in/static/harbour/harbours.html,
fh_31,fishing_harbour,Maintenance dredging of existing harbor in Chettuva,Trissur,10.42,76.06,prototype_geospatial_anchor,Department of Fisheries PMMSY Fishing Harbour Map,https://pmmsy.dof.gov.in/static/harbour/harbours.html,
fh_32,fishing_harbour,Maintenance dredging of existing harbor in Ponnani,Malappuram,10.77,75.93,prototype_geospatial_anchor,Department of Fisheries PMMSY Fishing Harbour Map,https://pmmsy.dof.gov.in/static/harbour/harbours.html,
fh_33,fishing_harbour,Maintenance dredging of existing harbor in Beypore,Kozhikode,11.17,75.81,prototype_geospatial_anchor,Department of Fisheries PMMSY Fishing Harbour Map,https://pmmsy.dof.gov.in/static/harbour/harbours.html,
fh_34,fishing_harbour,Maintenance dredging of existing harbor in Puthiyappa,Kozhikode,11.32,75.74,prototype_geospatial_anchor,Department of Fisheries PMMSY Fishing Harbour Map,https://pmmsy.dof.gov.in/static/harbour/harbours.html,
fh_35,fishing_harbour,Development of Arthungal Fishing Harbor (Balance work),Alappuzha,9.69,76.34,prototype_geospatial_anchor,Department of Fisheries PMMSY Fishing Harbour Map,https://pmmsy.dof.gov.in/static/harbour/harbours.html,
fh_36,fishing_harbour,Development of Mallet Bunder Fishing Harbour,Ratnagiri-Sindhudurg,16.99,73.3,prototype_geospatial_anchor,Department of Fisheries PMMSY Fishing Harbour Map,https://pmmsy.dof.gov.in/static/harbour/harbours.html,
fh_37,fishing_harbour,Modernisation of Sassoon Dock Fishing Harbour,Mumbai,18.92,72.83,prototype_geospatial_anchor,Department of Fisheries PMMSY Fishing Harbour Map,https://pmmsy.dof.gov.in/static/harbour/harbours.html,
fh_38,fishing_harbour,Karanja Fishing Harbour (Revised),Raigad,18.91,72.95,prototype_geospatial_anchor,Department of Fisheries PMMSY Fishing Harbour Map,https://pmmsy.dof.gov.in/static/harbour/harbours.html,
fh_39,fishing_harbour,Anandwadi (Fishing Harbour),Sindhudurg,16.06,73.47,prototype_geospatial_anchor,Department of Fisheries PMMSY Fishing Harbour Map,https://pmmsy.dof.gov.in/static/harbour/harbours.html,
fh_40,fishing_harbour,Construction of Fisheries Fishing Harbour at Jeevana,Raigad,18.5,72.93,prototype_geospatial_anchor,Department of Fisheries PMMSY Fishing Harbour Map,https://pmmsy.dof.gov.in/static/harbour/harbours.html,
fh_41,fishing_harbour,Construction of Fisheries Fishing Harbour at Bharadkhol,Raigad,18.1,72.92,prototype_geospatial_anchor,Department of Fisheries PMMSY Fishing Harbour Map,https://pmmsy.dof.gov.in/static/harbour/harbours.html,
fh_42,fishing_harbour,Construction of Fisheries Fishing Harbour at Harnai,Ratnagiri,17.82,73.09,prototype_geospatial_anchor,Department of Fisheries PMMSY Fishing Harbour Map,https://pmmsy.dof.gov.in/static/harbour/harbours.html,
fh_43,fishing_harbour,Construction of Fisheries Fishing Harbour at Sakhari Nate,Ratnagiri,17.77,73.14,prototype_geospatial_anchor,Department of Fisheries PMMSY Fishing Harbour Map,https://pmmsy.dof.gov.in/static/harbour/harbours.html,
fh_44,fishing_harbour,Development of Fishing Harbour at Satpati,Palghar,19.73,72.68,prototype_geospatial_anchor,Department of Fisheries PMMSY Fishing Harbour Map,https://pmmsy.dof.gov.in/static/harbour/harbours.html,
fh_45,fishing_harbour,Development of Smart and Integrated Fishing Harbour at Karaikal,Karaikal,10.92,79.84,prototype_geospatial_anchor,Department of Fisheries PMMSY Fishing Harbour Map,https://pmmsy.dof.gov.in/static/harbour/harbours.html,
fh_46,fishing_harbour,Development of Smart and Integrated Fishing Harbour at Vanakbara,Diu,20.71,70.99,prototype_geospatial_anchor,Department of Fisheries PMMSY Fishing Harbour Map,https://pmmsy.dof.gov.in/static/harbour/harbours.html,
fh_47,fishing_harbour,Modernisation of Paradip Fishing Harbour,Jagatsinghpur,20.26,86.68,prototype_geospatial_anchor,Department of Fisheries PMMSY Fishing Harbour Map,https://pmmsy.dof.gov.in/static/harbour/harbours.html,
fh_48,fishing_harbour,Development of Stage-II Fishing Harbour at Nuagarh (Astranga),Puri,19.98,86.33,prototype_geospatial_anchor,Department of Fisheries PMMSY Fishing Harbour Map,https://pmmsy.dof.gov.in/static/harbour/harbours.html,
fh_49,fishing_harbour,Construction of Fishing Harbour at Thengaithittu,Arian,11.9,79.82,prototype_geospatial_anchor,Department of Fisheries PMMSY Fishing Harbour Map,https://pmmsy.dof.gov.in/static/harbour/harbours.html,
fh_50,fishing_harbour,Upgradation of Puducherry Fishing Harbour,Thengaithittu District,11.93,79.83,prototype_geospatial_anchor,Department of Fisheries PMMSY Fishing Harbour Map,https://pmmsy.dof.gov.in/static/harbour/harbours.html,
fh_51,fishing_harbour,Chandipur Fishing Harbour,Balasore,21.47,87.02,prototype_geospatial_anchor,Department of Fisheries PMMSY Fishing Harbour Map,https://pmmsy.dof.gov.in/static/harbour/harbours.html,
fh_52,fishing_harbour,Up-gradation of Pazhayar Fishing Harbour,Mayiladuthurai,11.35,79.84,prototype_geospatial_anchor,Department of Fisheries PMMSY Fishing Harbour Map,https://pmmsy.dof.gov.in/static/harbour/harbours.html,
fh_53,fishing_harbour,Modernization and up-gradation of Chennai Fishing Harbour,Chennai,13.09,80.3,prototype_geospatial_anchor,Department of Fisheries PMMSY Fishing Harbour Map,https://pmmsy.dof.gov.in/static/harbour/harbours.html,
fh_54,fishing_harbour,Maintenance Dredging of Colachel Fishing Harbour,Kanniyakumari,8.18,77.25,prototype_geospatial_anchor,Department of Fisheries PMMSY Fishing Harbour Map,https://pmmsy.dof.gov.in/static/harbour/harbours.html,
fh_55,fishing_harbour,Construction of Fishing harbour at Tharangampadi,Nagapattinam,11.03,79.85,prototype_geospatial_anchor,Department of Fisheries PMMSY Fishing Harbour Map,https://pmmsy.dof.gov.in/static/harbour/harbours.html,
