facilityId,facilityType,name,district,latitude,longitude,coordinateStatus,source,sourceUrl,state,month,airTemperatureC,weatherCondition,windSpeedKmph,windDirectionDeg,rainfallMm,visibilityKm,significantWaveHeightM,wavePeriodSec,waveDirectionDeg,swellHeightM,swellPeriodSec,seaCondition,seaSurfaceTemperatureC,surfaceCurrentSpeedMs,surfaceCurrentDirectionDeg,mixedLayerDepthM,d20DepthM,chlorophyllMgM3,pfzPotentialScore,fishingPotential,cycloneStatus,cycloneRiskScore,cycloneDistanceKm,cycloneWindKmph,marineWarning,highWaveAlert,dataType,modelBasis
fh_01,fishing_harbour,Development of Pudimadaka Fishing Harbour,Anakapalli,17.493,82.96,prototype_geospatial_anchor,Department of Fisheries PMMSY Fishing Harbour Map,https://pmmsy.dof.gov.in/static/harbour/harbours.html,,10,30.5,clear,14.3,283,20.7,7.4,1.17,5.9,273,0.99,9.1,moderate,28.4,0.26,233,35,142,0.5,47,moderate,elevated,53,,,none,False,synthetic_demo_baseline,INCOIS/IMD variable schema + deterministic Indian coastal regional model
fh_01,fishing_harbour,Development of Pudimadaka Fishing Harbour,Anakapalli,17.493,82.96,prototype_geospatial_anchor,Department of Fisheries PMMSY Fishing Harbour Map,https://pmmsy.dof.gov.in/static/harbour/harbours.html,,11,27.9,partly_cloudy,12.8,134,1.9,6.9,1.16,6.4,131,0.81,6.8,moderate,28.4,0.32,84,66,85,0.74,47,moderate,elevated,50,,,none,False,synthetic_demo_baseline,INCOIS/IMD variable schema + deterministic Indian coastal regional model
fh_03,fishing_harbour,Development of Kothapatnam Fishing Harbour,Ongole,15.44,80.19,prototype_geospatial_anchor,Department of Fisheries PMMSY Fishing Harbour Map,https://pmmsy.dof.gov.in/static/harbour/harbours.html,,10,30.4,cloudy,13.6,214,15.7,7.1,1.21,7.3,220,0.81,8.4,moderate,28.9,0.4,169,75,124,1.0,63,moderate,none,10,,,none,False,synthetic_demo_baseline,INCOIS/IMD variable schema + deterministic Indian coastal regional model
fh_03,fishing_harbour,Development of Kothapatnam Fishing Harbour,Ongole,15.44,80.19,prototype_geospatial_anchor,Department of Fisheries PMMSY Fishing Harbour Map,https://pmmsy.dof.gov.in/static/harbour/harbours.html,,11,29.3,cloudy,14.4,205,6.1,7.9,1.16,6.7,204,0.85,8.3,moderate,28.4,0.34,160,72,121,0.73,51,moderate,none,8,,,none,False,synthetic_demo_baseline,INCOIS/IMD variable schema + deterministic Indian coastal regional model
fh_04,fishing_harbour,Modernization and up-gradation of Vishakapatnam Fishing Harbour,Vishakapatnam Port,17.69,83.29,prototype_geospatial_anchor,Department of Fisheries PMMSY Fishing Harbour Map,https://pmmsy.dof.gov.in/static/harbour/harbours.html,,10,29.2,partly_cloudy,12.5,172,8.3,6.5,1.21,6.9,173,0.82,7.4,moderate,28.8,0.36,122,63,99,0.93,57,moderate,elevated,46,,,none,False,synthetic_demo_baseline,INCOIS/IMD variable schema + deterministic Indian coastal regional model
fh_04,fishing_harbour,Modernization and up-gradation of Vishakapatnam Fishing Harbour,Vishakapatnam Port,17.69,83.29,prototype_geospatial_anchor,Department of Fisheries PMMSY Fishing Harbour Map,https://pmmsy.dof.gov.in/static/harbour/harbours.html,,11,27.7,partly_cloudy,12.6,123,1.4,7.3,1.09,6.0,115,0.8,6.6,moderate,28.2,0.28,73,54,80,0.57,40,low,elevated,50,,,none,False,synthetic_demo_baseline,INCOIS/IMD variable schema + deterministic Indian coastal regional model
fh_05,fishing_harbour,Juvvaladinne Fishing Harbour,SPSR Nellore,14.8,80.05,prototype_geospatial_anchor,Department of Fisheries PMMSY Fishing Harbour Map,https://pmmsy.dof.gov.in/static/harbour/harbours.html,,10,30.1,cloudy,12.9,174,11.4,6.9,1.21,7.5,183,0.76,7.8,moderate,29.1,0.43,129,81,109,1.09,64,moderate,none,8,,,none,False,synthetic_demo_baseline,INCOIS/IMD variable schema + deterministic Indian coastal regional model
fh_05,fishing_harbour,Juvvaladinne Fishing Harbour,SPSR Nellore,14.8,80.05,prototype_geospatial_anchor,Department of Fisheries PMMSY Fishing Harbour Map,https://pmmsy.dof.gov.in/static/harbour/harbours.html,,11,28.8,partly_cloudy,13.5,148,3.6,7.8,1.14,6.9,149,0.76,7.4,moderate,28.6,0.36,103,78,98,0.81,52,moderate,none,4,,,none,False,synthetic_demo_baseline,INCOIS/IMD variable schema + deterministic Indian coastal regional model
fh_06,fishing_harbour,"Construction of Fishing Harbour, Uppada",East Godavari,17.08,82.34,prototype_geospatial_anchor,Department of Fisheries PMMSY Fishing Harbour Map,https://pmmsy.dof.gov.in/static/harbour/harbours.html,,10,30.7,clear,14.4,290,21.5,6.7,1.28,6.6,287,1.0,9.2,moderate,28.7,0.32,240,53,145,0.77,56,moderate,elevated,54,,,none,False,synthetic_demo_baseline,INCOIS/IMD variable schema + deterministic Indian coastal regional model
fh_06,fishing_harbour,"Construction of Fishing Harbour, Uppada",East Godavari,17.08,82.34,prototype_geospatial_anchor,Department of Fisheries PMMSY Fishing Harbour Map,https://pmmsy.dof.gov.in/static/harbour/harbours.html,,11,29.2,clear,14.8,250,7.0,5.4,1.46,7.7,259,0.99,8.6,moderate,29.0,0.43,200,97,129,1.21,66,moderate,elevated,58,,,none,False,synthetic_demo_baseline,INCOIS/IMD variable schema + deterministic Indian coastal regional model
fh_07,fishing_harbour,"Construction of Fishing Harbour, Vodarevu",Prakasham,15.55,80.17,prototype_geospatial_anchor,Department of Fisheries PMMSY Fishing Harbour Map,https://pmmsy.dof.gov.in/static/harbour/harbours.html,,10,30.0,cloudy,12.9,177,11.6,7.7,1.1,6.9,178,0.76,7.8,moderate,28.7,0.36,132,62,110,0.81,54,moderate,none,8,,,none,False,synthetic_demo_baseline,INCOIS/IMD variable schema + deterministic Indian coastal regional model
fh_07,fishing_harbour,"Construction of Fishing Harbour, Vodarevu",Prakasham,15.55,80.17,prototype_geospatial_anchor,Department of Fisheries PMMSY Fishing Harbour Map,https://pmmsy.dof.gov.in/static/harbour/harbours.html,,11,29.5,clear,14.8,228,7.1,8.5,1.09,6.2,220,0.88,8.6,moderate,28.1,0.28,183,56,130,0.5,44,low,none,9,,,none,False,synthetic_demo_baseline,INCOIS/IMD variable schema + deterministic Indian coastal regional model
fh_08,fishing_harbour,"Construction of Fishing Harbour, Machilipattinam",Krishna,16.18,81.13,prototype_geospatial_anchor,Department of Fisheries PMMSY Fishing Harbour Map,https://pmmsy.dof.gov.in/static/harbour/harbours.html,,10,30.9,clear,14.5,268,21.8,7.5,1.19,6.9,270,0.89,9.3,moderate,28.6,0.36,223,63,146,0.82,58,moderate,none,14,,,none,False,synthetic_demo_baseline,INCOIS/IMD variable schema + deterministic Indian coastal regional model
fh_08,fishing_harbour,"Construction of Fishing Harbour, Machilipattinam",Krishna,16.18,81.13,prototype_geospatial_anchor,Department of Fisheries PMMSY Fishing Harbour Map,https://pmmsy.dof.gov.in/static/harbour/harbours.html,,11,28.7,partly_cloudy,13.8,167,4.4,7.6,1.18,7.1,170,0.79,7.7,moderate,28.5,0.38,122,82,106,0.88,54,moderate,none,5,,,none,False,synthetic_demo_baseline,INCOIS/IMD variable schema + deterministic Indian coastal regional model
fh_09,fishing_harbour,"Construction of Fishing Harbour, Nizampattinam",Guntur,15.9,80.65,prototype_geospatial_anchor,Department of Fisheries PMMSY Fishing Harbour Map,https://pmmsy.dof.gov.in/static/harbour/harbours.html,,10,30.2,cloudy,13.4,202,14.4,8.7,0.98,5.9,192,0.8,8.2,slight,28.2,0.26,157,36,120,0.41,41,low,none,9,,,none,False,synthetic_demo_baseline,INCOIS/IMD variable schema + deterministic Indian coastal regional model
fh_09,fishing_harbour,"Construction of Fishing Harbour, Nizampattinam",Guntur,15.9,80.65,prototype_geospatial_anchor,Department of Fisheries PMMSY Fishing Harbour Map,https://pmmsy.dof.gov.in/static/harbour/harbours.html,,11,28.3,partly_cloudy,13.0,120,2.3,8.9,0.96,5.9,110,0.72,7.0,slight,28.0,0.26,75,51,88,0.41,36,low,none,2,,,none,False,synthetic_demo_baseline,INCOIS/IMD variable schema + deterministic Indian coastal regional model
fh_10,fishing_harbour,Development of Smart and Integrated Fishing Harbour at Jakhau,Kutch,23.23,68.72,prototype_geospatial_anchor,Department of Fisheries PMMSY Fishing Harbour Map,https://pmmsy.dof.gov.in/static/harbour/harbours.html,,10,29.6,clear,13.2,264,8.7,6.9,1.24,7.1,268,0.9,9.2,moderate,28.0,0.38,219,69,147,0.77,50,moderate,none,26,,,none,False,synthetic_demo_baseline,INCOIS/IMD variable schema + deterministic Indian coastal regional model
