locationId,locationName,facilityId,facilityName,facilityType,distanceKm
loc_0,Mumbai,fh_37,Modernisation of Sassoon Dock Fishing Harbour,fishing_harbour,17.87
loc_0,Mumbai,fh_38,Karanja Fishing Harbour (Revised),fishing_harbour,19.44
loc_0,Mumbai,fh_40,Construction of Fisheries Fishing Harbour at Jeevana,fishing_harbour,63.89
loc_0,Mumbai,fh_44,Development of Fishing Harbour at Satpati,fishing_harbour,76.1
loc_0,Mumbai,port_00,Mumbai Port,port,16.09
loc_0,Mumbai,port_01,Jawaharlal Nehru Port (JNPT),port,15.39
loc_5,Chennai,fh_53,Modernization and up-gradation of Chennai Fishing Harbour,fishing_harbour,2.34
loc_5,Chennai,fh_56,Construction of Fishing harbour at ThiruvottriyurKuppam,fishing_harbour,10.71
loc_5,Chennai,port_05,Chennai Port,port,1.66
loc_5,Chennai,port_11,Kamarajar Port,port,18.18
loc_11,Navi Mumbai,fh_37,Modernisation of Sassoon Dock Fishing Harbour,fishing_harbour,23.46
loc_11,Navi Mumbai,fh_38,Karanja Fishing Harbour (Revised),fishing_harbour,15.71
loc_11,Navi Mumbai,fh_40,Construction of Fisheries Fishing Harbour at Jeevana,fishing_harbour,60.37
loc_11,Navi Mumbai,fh_44,Development of Fishing Harbour at Satpati,fishing_harbour,84.75
loc_11,Navi Mumbai,port_00,Mumbai Port,port,21.26
loc_11,Navi Mumbai,port_01,Jawaharlal Nehru Port (JNPT),port,11.88
loc_16,Thāne,fh_37,Modernisation of Sassoon Dock Fishing Harbour,fishing_harbour,33.85
loc_16,Thāne,fh_38,Karanja Fishing Harbour (Revised),fishing_harbour,31.95
loc_16,Thāne,fh_40,Construction of Fisheries Fishing Harbour at Jeevana,fishing_harbour,77.59
loc_16,Thāne,fh_44,Development of Fishing Harbour at Satpati,fishing_harbour,66.3
loc_16,Thāne,port_00,Mumbai Port,port,31.91
loc_16,Thāne,port_01,Jawaharlal Nehru Port (JNPT),port,27.51
loc_19,Rasapūdipalem,fh_01,Development of Pudimadaka Fishing Harbour,fishing_harbour,46.24
loc_19,Rasapūdipalem,fh_04,Modernization and up-gradation of Vishakapatnam Fishing Harbour,fishing_harbour,5.54
loc_19,Rasapūdipalem,port_06,Visakhapatnam Port,port,5.21
loc_33,Kalyān,fh_37,Modernisation of Sassoon Dock Fishing Harbour,fishing_harbour,48.23
loc_33,Kalyān,fh_38,Karanja Fishing Harbour (Revised),fishing_harbour,41.92
loc_33,Kalyān,fh_40,Construction of Fisheries Fishing Harbour at Jeevana,fishing_harbour,85.48
loc_33,Kalyān,fh_44,Development of Fishing Harbour at Satpati,fishing_harbour,72.14
loc_33,Kalyān,port_00,Mumbai Port,port,46.06
loc_33,Kalyān,port_01,Jawaharlal Nehru Port (JNPT),port,38.03
loc_34,Dombivali,fh_37,Modernisation of Sassoon Dock Fishing Harbour,fishing_harbour,42.39
loc_34,Dombivali,fh_38,Karanja Fishing Harbour (Revised),fishing_harbour,36.87
loc_34,Dombivali,fh_40,Construction of Fisheries Fishing Harbour at Jeevana,fishing_harbour,81.31
loc_34,Dombivali,fh_44,Development of Fishing Harbour at Satpati,fishing_harbour,71.03
loc_34,Dombivali,port_00,Mumbai Port,port,40.24
loc_34,Dombivali,port_01,Jawaharlal Nehru Port (JNPT),port,32.8
loc_36,Virār,fh_37,Modernisation of Sassoon Dock Fishing Harbour,fishing_harbour,59.62
loc_36,Virār,fh_38,Karanja Fishing Harbour (Revised),fishing_harbour,62.42
loc_36,Virār,fh_44,Development of Fishing Harbour at Satpati,fishing_harbour,33.44
